areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-06-15,85+,5984.2,83602
E92000001,England,nation,2021-06-15,65_to_84,1837.5,164576
E92000001,England,nation,2021-06-14,18_to_64,423.4,143566
E92000001,England,nation,2021-06-14,6_to_17,36.4,2924
E92000001,England,nation,2021-06-14,0_to_5,74.1,2959
E92000001,England,nation,2021-06-14,85+,5983.5,83592
E92000001,England,nation,2021-06-14,65_to_84,1837.0,164538
E92000001,England,nation,2021-06-13,18_to_64,423.1,143457
E92000001,England,nation,2021-06-13,6_to_17,36.3,2918
E92000001,England,nation,2021-06-13,0_to_5,74.0,2955
E92000001,England,nation,2021-06-13,85+,5982.1,83573
E92000001,England,nation,2021-06-13,65_to_84,1836.6,164495
E92000001,England,nation,2021-06-12,18_to_64,422.7,143328
E92000001,England,nation,2021-06-12,6_to_17,36.3,2913
E92000001,England,nation,2021-06-12,0_to_5,74.0,2953
E92000001,England,nation,2021-06-12,85+,5980.9,83556
E92000001,England,nation,2021-06-12,65_to_84,1836.2,164461
E92000001,England,nation,2021-06-11,18_to_64,422.4,143241
E92000001,England,nation,2021-06-11,6_to_17,36.2,2908
E92000001,England,nation,2021-06-11,0_to_5,73.9,2950
E92000001,England,nation,2021-06-11,85+,5979.8,83541
E92000001,England,nation,2021-06-11,65_to_84,1835.9,164434
E92000001,England,nation,2021-06-10,18_to_64,422.1,143147
E92000001,England,nation,2021-06-10,6_to_17,36.2,2906
E92000001,England,nation,2021-06-10,0_to_5,73.8,2947
E92000001,England,nation,2021-06-10,85+,5978.8,83527
E92000001,England,nation,2021-06-10,65_to_84,1835.5,164403
E92000001,England,nation,2021-06-09,18_to_64,421.8,143025
E92000001,England,nation,2021-06-09,6_to_17,36.2,2904
E92000001,England,nation,2021-06-09,0_to_5,73.8,2944
E92000001,England,nation,2021-06-09,85+,5978.4,83521
E92000001,England,nation,2021-06-09,65_to_84,1835.2,164374
E92000001,England,nation,2021-06-08,18_to_64,421.5,142924
E92000001,England,nation,2021-06-08,6_to_17,36.1,2897
E92000001,England,nation,2021-06-08,0_to_5,73.6,2937
E92000001,England,nation,2021-06-08,85+,5976.9,83501
E92000001,England,nation,2021-06-08,65_to_84,1835.0,164351
E92000001,England,nation,2021-06-07,18_to_64,421.2,142839
E92000001,England,nation,2021-06-07,6_to_17,36.0,2889
E92000001,England,nation,2021-06-07,0_to_5,73.4,2929
E92000001,England,nation,2021-06-07,85+,5976.0,83488
E92000001,England,nation,2021-06-07,65_to_84,1834.6,164318
E92000001,England,nation,2021-06-06,18_to_64,421.0,142751
E92000001,England,nation,2021-06-06,6_to_17,35.9,2881
E92000001,England,nation,2021-06-06,0_to_5,73.2,2921
E92000001,England,nation,2021-06-06,85+,5975.4,83479
E92000001,England,nation,2021-06-06,65_to_84,1834.4,164300
E92000001,England,nation,2021-06-05,18_to_64,420.7,142666
E92000001,England,nation,2021-06-05,6_to_17,35.8,2876
E92000001,England,nation,2021-06-05,0_to_5,73.1,2918
E92000001,England,nation,2021-06-05,85+,5974.8,83471
E92000001,England,nation,2021-06-05,65_to_84,1834.2,164280
E92000001,England,nation,2021-06-04,18_to_64,420.6,142610
E92000001,England,nation,2021-06-04,6_to_17,35.8,2872
E92000001,England,nation,2021-06-04,0_to_5,73.0,2914
E92000001,England,nation,2021-06-04,85+,5974.3,83464
E92000001,England,nation,2021-06-04,65_to_84,1833.9,164259
E92000001,England,nation,2021-06-03,18_to_64,420.4,142542
E92000001,England,nation,2021-06-03,6_to_17,35.7,2871
E92000001,England,nation,2021-06-03,0_to_5,72.9,2910
E92000001,England,nation,2021-06-03,85+,5973.9,83458
E92000001,England,nation,2021-06-03,65_to_84,1833.7,164242
E92000001,England,nation,2021-06-02,18_to_64,420.2,142479
E92000001,England,nation,2021-06-02,6_to_17,35.7,2870
E92000001,England,nation,2021-06-02,0_to_5,72.8,2904
E92000001,England,nation,2021-06-02,85+,5973.4,83452
E92000001,England,nation,2021-06-02,65_to_84,1833.6,164225
E92000001,England,nation,2021-06-01,18_to_64,420.0,142413
E92000001,England,nation,2021-06-01,6_to_17,35.7,2866
E92000001,England,nation,2021-06-01,0_to_5,72.7,2901
E92000001,England,nation,2021-06-01,85+,5972.9,83445
E92000001,England,nation,2021-06-01,65_to_84,1833.3,164204
E92000001,England,nation,2021-05-31,18_to_64,419.8,142336
E92000001,England,nation,2021-05-31,6_to_17,35.6,2860
E92000001,England,nation,2021-05-31,0_to_5,72.6,2898
E92000001,England,nation,2021-05-31,85+,5972.3,83436
E92000001,England,nation,2021-05-31,65_to_84,1833.1,164184
E92000001,England,nation,2021-05-30,18_to_64,419.6,142284
E92000001,England,nation,2021-05-30,6_to_17,35.6,2859
E92000001,England,nation,2021-05-30,0_to_5,72.5,2894
E92000001,England,nation,2021-05-30,85+,5971.7,83427
E92000001,England,nation,2021-05-30,65_to_84,1832.7,164152
E92000001,England,nation,2021-05-29,18_to_64,419.5,142239
E92000001,England,nation,2021-05-29,6_to_17,35.6,2856
E92000001,England,nation,2021-05-29,0_to_5,72.3,2887
E92000001,England,nation,2021-05-29,85+,5971.4,83423
E92000001,England,nation,2021-05-29,65_to_84,1832.5,164131
E92000001,England,nation,2021-05-28,18_to_64,419.3,142197
E92000001,England,nation,2021-05-28,6_to_17,35.5,2854
E92000001,England,nation,2021-05-28,0_to_5,72.3,2884
E92000001,England,nation,2021-05-28,85+,5970.9,83417
E92000001,England,nation,2021-05-28,65_to_84,1832.3,164115
E92000001,England,nation,2021-05-27,18_to_64,419.1,142131
E92000001,England,nation,2021-05-27,6_to_17,35.5,2853
E92000001,England,nation,2021-05-27,0_to_5,72.2,2880
E92000001,England,nation,2021-05-27,85+,5970.6,83412
E92000001,England,nation,2021-05-27,65_to_84,1832.1,164099
E92000001,England,nation,2021-05-26,18_to_64,419.0,142075
E92000001,England,nation,2021-05-26,6_to_17,35.5,2852
E92000001,England,nation,2021-05-26,0_to_5,72.1,2879
E92000001,England,nation,2021-05-26,85+,5970.1,83406
E92000001,England,nation,2021-05-26,65_to_84,1831.9,164080
E92000001,England,nation,2021-05-25,18_to_64,418.8,142014
E92000001,England,nation,2021-05-25,6_to_17,35.4,2846
E92000001,England,nation,2021-05-25,0_to_5,72.1,2877
E92000001,England,nation,2021-05-25,85+,5969.6,83399
E92000001,England,nation,2021-05-25,65_to_84,1831.7,164061
E92000001,England,nation,2021-05-24,18_to_64,418.6,141955
E92000001,England,nation,2021-05-24,6_to_17,35.4,2845
E92000001,England,nation,2021-05-24,0_to_5,72.0,2875
E92000001,England,nation,2021-05-24,85+,5969.0,83390
E92000001,England,nation,2021-05-24,65_to_84,1831.5,164044
E92000001,England,nation,2021-05-23,18_to_64,418.4,141891
E92000001,England,nation,2021-05-23,6_to_17,35.4,2845
E92000001,England,nation,2021-05-23,0_to_5,72.0,2873
E92000001,England,nation,2021-05-23,85+,5968.4,83381
E92000001,England,nation,2021-05-23,65_to_84,1831.3,164021
E92000001,England,nation,2021-05-22,18_to_64,418.3,141849
E92000001,England,nation,2021-05-22,6_to_17,35.3,2839
E92000001,England,nation,2021-05-22,0_to_5,71.9,2871
E92000001,England,nation,2021-05-22,85+,5967.9,83374
E92000001,England,nation,2021-05-22,65_to_84,1831.0,164001
E92000001,England,nation,2021-05-21,18_to_64,418.2,141803
E92000001,England,nation,2021-05-21,6_to_17,35.3,2833
E92000001,England,nation,2021-05-21,0_to_5,71.9,2869
E92000001,England,nation,2021-05-21,85+,5967.3,83366
E92000001,England,nation,2021-05-21,65_to_84,1830.9,163988
E92000001,England,nation,2021-05-20,18_to_64,418.0,141753
E92000001,England,nation,2021-05-20,6_to_17,35.2,2829
E92000001,England,nation,2021-05-20,0_to_5,71.8,2865
E92000001,England,nation,2021-05-20,85+,5966.6,83357
E92000001,England,nation,2021-05-20,65_to_84,1830.7,163970
E92000001,England,nation,2021-05-19,18_to_64,417.8,141689
E92000001,England,nation,2021-05-19,6_to_17,35.2,2827
E92000001,England,nation,2021-05-19,0_to_5,71.7,2862
E92000001,England,nation,2021-05-19,85+,5965.8,83345
E92000001,England,nation,2021-05-19,65_to_84,1830.5,163953
E92000001,England,nation,2021-05-18,18_to_64,417.7,141633
E92000001,England,nation,2021-05-18,6_to_17,35.2,2824
E92000001,England,nation,2021-05-18,0_to_5,71.6,2859
E92000001,England,nation,2021-05-18,85+,5965.2,83337
E92000001,England,nation,2021-05-18,65_to_84,1830.3,163930
E92000001,England,nation,2021-05-17,18_to_64,417.5,141571
E92000001,England,nation,2021-05-17,6_to_17,35.1,2822
E92000001,England,nation,2021-05-17,0_to_5,71.6,2859
E92000001,England,nation,2021-05-17,85+,5964.6,83328
E92000001,England,nation,2021-05-17,65_to_84,1830.1,163913
E92000001,England,nation,2021-05-16,18_to_64,417.4,141525
E92000001,England,nation,2021-05-16,6_to_17,35.1,2820
E92000001,England,nation,2021-05-16,0_to_5,71.5,2855
E92000001,England,nation,2021-05-16,85+,5963.8,83317
E92000001,England,nation,2021-05-16,65_to_84,1829.9,163902
E92000001,England,nation,2021-05-15,18_to_64,417.3,141490
E92000001,England,nation,2021-05-15,6_to_17,35.1,2817
E92000001,England,nation,2021-05-15,0_to_5,71.5,2855
E92000001,England,nation,2021-05-15,85+,5963.3,83310
E92000001,England,nation,2021-05-15,65_to_84,1829.8,163888
E92000001,England,nation,2021-05-14,18_to_64,417.1,141447
E92000001,England,nation,2021-05-14,6_to_17,35.1,2816
E92000001,England,nation,2021-05-14,0_to_5,71.5,2854
E92000001,England,nation,2021-05-14,85+,5963.0,83306
E92000001,England,nation,2021-05-14,65_to_84,1829.6,163867
E92000001,England,nation,2021-05-13,18_to_64,417.0,141408
E92000001,England,nation,2021-05-13,6_to_17,35.0,2813
E92000001,England,nation,2021-05-13,0_to_5,71.5,2853
E92000001,England,nation,2021-05-13,85+,5962.4,83298
E92000001,England,nation,2021-05-13,65_to_84,1829.3,163846
E92000001,England,nation,2021-05-12,18_to_64,416.9,141360
E92000001,England,nation,2021-05-12,6_to_17,35.0,2811
E92000001,England,nation,2021-05-12,0_to_5,71.5,2853
E92000001,England,nation,2021-05-12,85+,5961.6,83286
E92000001,England,nation,2021-05-12,65_to_84,1829.2,163834
E92000001,England,nation,2021-05-11,18_to_64,416.7,141312
E92000001,England,nation,2021-05-11,6_to_17,35.0,2809
E92000001,England,nation,2021-05-11,0_to_5,71.4,2851
E92000001,England,nation,2021-05-11,85+,5960.5,83271
E92000001,England,nation,2021-05-11,65_to_84,1828.9,163808
E92000001,England,nation,2021-05-10,18_to_64,416.6,141270
E92000001,England,nation,2021-05-10,6_to_17,34.9,2806
E92000001,England,nation,2021-05-10,0_to_5,71.3,2845
E92000001,England,nation,2021-05-10,85+,5959.8,83261
E92000001,England,nation,2021-05-10,65_to_84,1828.7,163790
E92000001,England,nation,2021-05-09,18_to_64,416.5,141231
E92000001,England,nation,2021-05-09,6_to_17,34.9,2803
E92000001,England,nation,2021-05-09,0_to_5,71.1,2839
E92000001,England,nation,2021-05-09,85+,5959.3,83255
E92000001,England,nation,2021-05-09,65_to_84,1828.4,163768
E92000001,England,nation,2021-05-08,18_to_64,416.4,141192
E92000001,England,nation,2021-05-08,6_to_17,34.9,2803
E92000001,England,nation,2021-05-08,0_to_5,71.1,2838
E92000001,England,nation,2021-05-08,85+,5958.6,83244
E92000001,England,nation,2021-05-08,65_to_84,1828.2,163743
E92000001,England,nation,2021-05-07,18_to_64,416.3,141152
E92000001,England,nation,2021-05-07,6_to_17,34.9,2800
E92000001,England,nation,2021-05-07,0_to_5,71.1,2838
E92000001,England,nation,2021-05-07,85+,5957.5,83230
E92000001,England,nation,2021-05-07,65_to_84,1827.9,163720
E92000001,England,nation,2021-05-06,18_to_64,416.1,141114
E92000001,England,nation,2021-05-06,6_to_17,34.8,2799
E92000001,England,nation,2021-05-06,0_to_5,71.1,2837
E92000001,England,nation,2021-05-06,85+,5956.6,83217
E92000001,England,nation,2021-05-06,65_to_84,1827.6,163696
E92000001,England,nation,2021-05-05,18_to_64,416.0,141059
E92000001,England,nation,2021-05-05,6_to_17,34.8,2797
E92000001,England,nation,2021-05-05,0_to_5,71.0,2835
E92000001,England,nation,2021-05-05,85+,5956.0,83208
E92000001,England,nation,2021-05-05,65_to_84,1827.4,163676
E92000001,England,nation,2021-05-04,18_to_64,415.8,141003
E92000001,England,nation,2021-05-04,6_to_17,34.8,2794
E92000001,England,nation,2021-05-04,0_to_5,71.0,2832
E92000001,England,nation,2021-05-04,85+,5955.0,83194
E92000001,England,nation,2021-05-04,65_to_84,1827.2,163657
E92000001,England,nation,2021-05-03,18_to_64,415.7,140964
