areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-03-20,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-20,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-20,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-20,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-20,30_34,0.0,1.0,0.0
E92000001,England,nation,2021-03-20,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-20,40_44,0.0,2.0,0.1
E92000001,England,nation,2021-03-20,45_49,0.0,8.0,0.2
E92000001,England,nation,2021-03-20,50_54,4.0,16.0,0.4
E92000001,England,nation,2021-03-20,55_59,3.0,20.0,0.5
E92000001,England,nation,2021-03-20,60+,52.0,410.0,3.0
E92000001,England,nation,2021-03-20,60_64,3.0,25.0,0.8
E92000001,England,nation,2021-03-20,65_69,11.0,41.0,1.5
E92000001,England,nation,2021-03-20,70_74,5.0,47.0,1.7
E92000001,England,nation,2021-03-20,75_79,7.0,51.0,2.6
E92000001,England,nation,2021-03-20,80_84,4.0,69.0,4.8
E92000001,England,nation,2021-03-20,85_89,10.0,90.0,10.2
E92000001,England,nation,2021-03-20,90+,12.0,87.0,16.8
E92000001,England,nation,2021-03-19,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-19,00_59,5.0,51.0,0.1
E92000001,England,nation,2021-03-19,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-19,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-19,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-19,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-19,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-19,30_34,0.0,1.0,0.0
E92000001,England,nation,2021-03-19,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-19,40_44,0.0,2.0,0.1
E92000001,England,nation,2021-03-19,45_49,1.0,9.0,0.2
E92000001,England,nation,2021-03-19,50_54,4.0,13.0,0.3
E92000001,England,nation,2021-03-19,55_59,0.0,23.0,0.6
E92000001,England,nation,2021-03-19,60+,51.0,447.0,3.3
E92000001,England,nation,2021-03-19,60_64,1.0,28.0,0.9
E92000001,England,nation,2021-03-19,65_69,4.0,38.0,1.4
E92000001,England,nation,2021-03-19,70_74,6.0,56.0,2.0
E92000001,England,nation,2021-03-19,75_79,5.0,52.0,2.7
E92000001,England,nation,2021-03-19,80_84,7.0,78.0,5.4
E92000001,England,nation,2021-03-19,85_89,13.0,104.0,11.8
E92000001,England,nation,2021-03-19,90+,15.0,91.0,17.6
E92000001,England,nation,2021-03-18,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-18,00_59,9.0,58.0,0.1
E92000001,England,nation,2021-03-18,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-18,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-18,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-18,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-18,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-18,30_34,1.0,1.0,0.0
E92000001,England,nation,2021-03-18,35_39,1.0,2.0,0.1
E92000001,England,nation,2021-03-18,40_44,0.0,2.0,0.1
E92000001,England,nation,2021-03-18,45_49,2.0,11.0,0.3
E92000001,England,nation,2021-03-18,50_54,3.0,10.0,0.3
E92000001,England,nation,2021-03-18,55_59,2.0,31.0,0.8
E92000001,England,nation,2021-03-18,60+,43.0,465.0,3.5
E92000001,England,nation,2021-03-18,60_64,7.0,34.0,1.1
E92000001,England,nation,2021-03-18,65_69,2.0,42.0,1.5
E92000001,England,nation,2021-03-18,70_74,4.0,57.0,2.1
E92000001,England,nation,2021-03-18,75_79,5.0,54.0,2.8
E92000001,England,nation,2021-03-18,80_84,6.0,82.0,5.7
E92000001,England,nation,2021-03-18,85_89,7.0,108.0,12.3
E92000001,England,nation,2021-03-18,90+,12.0,88.0,17.0
E92000001,England,nation,2021-03-17,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,00_59,9.0,61.0,0.1
E92000001,England,nation,2021-03-17,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-17,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-03-17,35_39,0.0,1.0,0.0
E92000001,England,nation,2021-03-17,40_44,0.0,2.0,0.1
E92000001,England,nation,2021-03-17,45_49,2.0,11.0,0.3
E92000001,England,nation,2021-03-17,50_54,1.0,10.0,0.3
E92000001,England,nation,2021-03-17,55_59,6.0,36.0,1.0
E92000001,England,nation,2021-03-17,60+,55.0,516.0,3.8
E92000001,England,nation,2021-03-17,60_64,0.0,31.0,1.0
