areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-27,60_64,592,4534,141.8
E92000001,England,nation,2021-07-27,65_69,433,3027,108.7
E92000001,England,nation,2021-07-27,70_74,310,2190,77.8
E92000001,England,nation,2021-07-27,75_79,185,1394,69.4
E92000001,England,nation,2021-07-27,80_84,133,931,64.2
E92000001,England,nation,2021-07-27,85_89,94,610,68.9
E92000001,England,nation,2021-07-27,90+,49,356,68.3
E92000001,England,nation,2021-07-27,unassigned,20,100,
E92000001,England,nation,2021-07-26,00_04,587,4168,128.7
E92000001,England,nation,2021-07-26,00_59,23689,167936,391.6
E92000001,England,nation,2021-07-26,05_09,1134,9145,258.4
E92000001,England,nation,2021-07-26,10_14,2249,18455,537.2
E92000001,England,nation,2021-07-26,15_19,3332,21448,688.3
E92000001,England,nation,2021-07-26,20_24,3703,22116,636.9
E92000001,England,nation,2021-07-26,25_29,2859,20379,540.3
E92000001,England,nation,2021-07-26,30_34,2493,18588,486.0
E92000001,England,nation,2021-07-26,35_39,2002,14582,390.1
E92000001,England,nation,2021-07-26,40_44,1660,12138,349.2
E92000001,England,nation,2021-07-26,45_49,1412,10290,282.8
E92000001,England,nation,2021-07-26,50_54,1235,9318,240.4
E92000001,England,nation,2021-07-26,55_59,1023,7309,194.3
E92000001,England,nation,2021-07-26,60+,2076,13691,100.2
E92000001,England,nation,2021-07-26,60_64,679,4831,151.1
E92000001,England,nation,2021-07-26,65_69,466,3154,113.3
E92000001,England,nation,2021-07-26,70_74,334,2285,81.2
E92000001,England,nation,2021-07-26,75_79,254,1472,73.2
E92000001,England,nation,2021-07-26,80_84,161,967,66.7
E92000001,England,nation,2021-07-26,85_89,108,609,68.8
E92000001,England,nation,2021-07-26,90+,74,373,71.6
E92000001,England,nation,2021-07-26,unassigned,22,104,
E92000001,England,nation,2021-07-25,00_04,407,4429,136.7
E92000001,England,nation,2021-07-25,00_59,17691,183684,428.3
E92000001,England,nation,2021-07-25,05_09,1012,10187,287.8
E92000001,England,nation,2021-07-25,10_14,2087,20552,598.2
E92000001,England,nation,2021-07-25,15_19,2567,22699,728.5
E92000001,England,nation,2021-07-25,20_24,2428,23492,676.5
E92000001,England,nation,2021-07-25,25_29,1932,22671,601.1
E92000001,England,nation,2021-07-25,30_34,1794,20556,537.5
E92000001,England,nation,2021-07-25,35_39,1399,16099,430.7
E92000001,England,nation,2021-07-25,40_44,1224,13247,381.1
E92000001,England,nation,2021-07-25,45_49,1083,11352,312.0
E92000001,England,nation,2021-07-25,50_54,999,10338,266.8
E92000001,England,nation,2021-07-25,55_59,759,8062,214.3
E92000001,England,nation,2021-07-25,60+,1483,14517,106.3
E92000001,England,nation,2021-07-25,60_64,534,5255,164.4
E92000001,England,nation,2021-07-25,65_69,347,3351,120.4
E92000001,England,nation,2021-07-25,70_74,223,2414,85.8
